config,R@1,R@5,R@10,MedR
"baseline",0.5922,0.8450,0.9060,1
"expand-all T1",0.5442,0.8058,0.8814,1
"expand-all T2",0.5840,0.8354,0.9016,1
"expand-all T3",0.5674,0.8264,0.8954,1
"selective<5w (n=1403)",0.5886,0.8410,0.9030,1
"only-IsA (n=4146)",0.5822,0.8362,0.9018,1
"only-AtLocation (n=217)",0.5918,0.8438,0.9066,1
"only-UsedFor (n=209)",0.5896,0.8434,0.9054,1
"only-PartOf (n=102)",0.5918,0.8448,0.9058,1
"only-CapableOf (n=30)",0.5924,0.8448,0.9060,1
"fused a=0.5",0.5908,0.8378,0.9076,1
"fused a=0.6",0.5922,0.8388,0.9090,1
"fused a=0.7",0.5946,0.8418,0.9106,1
"fused a=0.8",0.5946,0.8442,0.9100,1
"fused a=0.9",0.5966,0.8452,0.9070,1
