  dr = norm(torch.from_numpy(np.ascontiguousarray(d_raw[:n])).float().to(dev)) if n else None
Loaded cached features for 1093 images.
5465 queries | 1093 real | 100,000 captioned distractors

 N dist. config                     R@1     R@5   dR@1 vs A   CI               p
       0 A baseline               5.40%  17.73%    +0.00   [+0.00,+0.00]  1.0000
       0 B DCKF-Q                 5.58%  18.02%    +0.18   [-0.02,+0.40]  0.0481
       0 C captions a=0.9         5.87%  17.79%    +0.48   [+0.04,+0.93]  0.0202
       0 D both a=0.9             6.06%  17.73%    +0.66   [+0.20,+1.12]  0.0025
       0 C captions a=0.8         5.43%  16.78%    +0.04   [-0.53,+0.60]  0.4572
       0 D both a=0.8             5.34%  16.78%    -0.05   [-0.62,+0.53]  0.5826
       0 T caption-only           2.25%   9.20%    -3.14   [-3.86,-2.42]  1.0000

  10,000 A baseline               2.63%   7.70%    +0.00   [+0.00,+0.00]  1.0000
  10,000 B DCKF-Q                 2.58%   7.96%    -0.05   [-0.16,+0.05]  0.8840
  10,000 C captions a=0.9         2.47%   7.83%    -0.17   [-0.51,+0.18]  0.8397
  10,000 D both a=0.9             2.56%   7.89%    -0.07   [-0.44,+0.27]  0.6777
  10,000 C captions a=0.8         2.29%   6.92%    -0.35   [-0.75,+0.04]  0.9655
  10,000 D both a=0.8             2.42%   6.90%    -0.22   [-0.62,+0.18]  0.8656
  10,000 T caption-only           0.49%   1.94%    -2.14   [-2.60,-1.68]  1.0000

  50,000 A baseline               1.41%   4.35%    +0.00   [+0.00,+0.00]  1.0000
  50,000 B DCKF-Q                 1.39%   4.52%    -0.02   [-0.13,+0.09]  0.6697
  50,000 C captions a=0.9         1.30%   4.26%    -0.11   [-0.37,+0.15]  0.8231
  50,000 D both a=0.9             1.35%   4.25%    -0.05   [-0.33,+0.22]  0.6753
  50,000 C captions a=0.8         1.15%   3.93%    -0.26   [-0.57,+0.05]  0.9515
  50,000 D both a=0.8             1.19%   3.93%    -0.22   [-0.55,+0.11]  0.9150
  50,000 T caption-only           0.22%   0.81%    -1.19   [-1.52,-0.86]  1.0000

 100,000 A baseline               1.04%   3.31%    +0.00   [+0.00,+0.00]  1.0000
 100,000 B DCKF-Q                 0.99%   3.40%    -0.06   [-0.18,+0.05]  0.8594
 100,000 C captions a=0.9         1.01%   3.13%    -0.04   [-0.26,+0.18]  0.6599
 100,000 D both a=0.9             1.01%   3.20%    -0.04   [-0.26,+0.20]  0.6498
 100,000 C captions a=0.8         0.86%   3.06%    -0.18   [-0.44,+0.07]  0.9265
 100,000 D both a=0.8             0.90%   3.04%    -0.15   [-0.42,+0.13]  0.8729
 100,000 T caption-only           0.15%   0.51%    -0.90   [-1.19,-0.62]  1.0000

wrote results/rs_scale_gallery_*.json
E33_DONE
